iter	MultiClass
0	1.81568638
1	1.595689453
2	1.409517751
3	1.288357165
4	1.176130754
5	1.079701428
6	1.002907148
7	0.9312673842
8	0.8757981207
9	0.8255243258
10	0.7854240421
11	0.7438298012
12	0.7031489336
13	0.6714346232
14	0.6432726103
15	0.615991661
16	0.5900430629
17	0.5731019796
18	0.5530356705
19	0.5340679995
20	0.5108612248
21	0.4941555574
22	0.4713961747
23	0.457586472
24	0.4407283745
25	0.429992319
26	0.4159356124
27	0.4052604495
28	0.3909602486
29	0.3813516775
30	0.3733187702
31	0.3646412848
32	0.3544800041
33	0.3436060922
34	0.3357015775
35	0.3290433954
36	0.3199357843
37	0.3140661661
38	0.3095856832
39	0.3039159193
40	0.2983627684
41	0.2922225932
42	0.2875178541
43	0.2844917371
44	0.2825877366
45	0.2793045227
46	0.2736742081
47	0.2711128215
48	0.2676766675
49	0.262675026
50	0.2618172676
51	0.2584206793
52	0.2580584818
53	0.2563242542
54	0.2557534598
55	0.2515931834
56	0.2496369514
57	0.2475155506
58	0.2446811125
59	0.2441969931
60	0.2418092558
61	0.2402250129
62	0.2391669403
63	0.2362772928
64	0.2357540366
65	0.2348530534
66	0.2318906723
67	0.2314405194
68	0.2306210701
69	0.229605659
70	0.2264234722
71	0.2257585505
72	0.2250528202
73	0.2238054437
74	0.2235267525
75	0.2227682399
76	0.2224510272
77	0.2219026013
78	0.2205407955
79	0.2202614683
80	0.219753759
81	0.2175501013
82	0.2169921263
83	0.2164398469
84	0.2151849091
85	0.2141442178
86	0.2117435104
87	0.2116702583
88	0.2108538335
89	0.2106662967
90	0.2102614933
91	0.2099772798
92	0.2095308474
93	0.2086960545
94	0.2079645457
95	0.2076074596
96	0.205315312
97	0.2047661396
98	0.2035514132
99	0.2035411359
100	0.2033276684
101	0.2032512001
102	0.2025678145
103	0.2022745495
104	0.2021246942
105	0.2010766851
106	0.2009901301
107	0.20045566
108	0.2002355542
109	0.1995320483
110	0.1984043027
111	0.1983464474
112	0.198272182
113	0.1979422704
114	0.1977310482
115	0.1975683083
116	0.197123836
117	0.1971096705
118	0.1943745681
119	0.1943623979
120	0.1941833557
121	0.1934613795
122	0.1932695072
123	0.1923895032
124	0.1920426078
125	0.1914043796
126	0.1913612245
127	0.1893156609
128	0.1888528531
129	0.1880991734
130	0.1878331422
131	0.1877226902
132	0.1873453027
133	0.1873333206
134	0.1865053047
135	0.1864547543
136	0.1862771757
137	0.1860346615
138	0.186018792
139	0.1853146497
140	0.1851745553
141	0.1846225785
142	0.1845850587
143	0.1834751919
144	0.1834611421
145	0.18342616
146	0.1828914386
147	0.1827257689
148	0.182633927
149	0.1818694139
150	0.1816797124
151	0.1812787348
152	0.1811004214
153	0.1807701887
154	0.1795830929
155	0.179487248
156	0.1785278499
157	0.1784523941
158	0.1783375529
159	0.1778085235
160	0.1772058499
161	0.1765598271
162	0.1751373544
163	0.1748322558
164	0.1742210907
165	0.1741371215
166	0.1739548852
167	0.1730868829
168	0.172186652
169	0.1720169178
170	0.1712526204
171	0.171112979
172	0.1710620174
173	0.1700958564
174	0.169617239
175	0.1694984774
176	0.1687781979
177	0.1684240649
178	0.1680404481
179	0.1680218007
180	0.1675645774
181	0.1675082148
182	0.1670952779
183	0.1663672994
184	0.1661720398
185	0.1660930107
186	0.1658651169
187	0.1654032349
188	0.1653567347
189	0.1651292197
190	0.1645935315
191	0.1643543141
192	0.164325499
193	0.1642140381
194	0.1641598654
195	0.1639438731
196	0.1638618161
197	0.1633631062
198	0.1633197896
199	0.162837939
200	0.1627716095
201	0.1626490128
202	0.1625397674
203	0.1623898209
204	0.1622643829
205	0.1622564956
206	0.1622110568
207	0.1621841734
208	0.1614990671
209	0.1607970704
210	0.1607295853
211	0.1606838285
212	0.1606469777
213	0.1605587789
214	0.1604049746
215	0.1601969932
216	0.1597351424
217	0.1589361585
218	0.1579766976
219	0.1579214994
220	0.1574528507
221	0.1566408229
222	0.1564814331
223	0.1564468701
224	0.1563639254
225	0.1552815762
226	0.1550028175
227	0.1549683986
228	0.1547682838
229	0.1543842781
230	0.1542036483
231	0.1532954054
232	0.1530371483
233	0.1524440849
234	0.1521463053
235	0.1520677005
236	0.151524798
237	0.1510138823
238	0.1509480437
239	0.1506629616
240	0.1495180256
241	0.1494901572
242	0.148910199
243	0.1485656346
244	0.1482777276
245	0.1480788792
246	0.1479402074
247	0.1473751791
248	0.1473157331
249	0.1472557412
250	0.1471110496
251	0.1470773761
252	0.1470659285
253	0.1466763832
254	0.1462773978
255	0.1462429503
256	0.1460769713
257	0.1460142519
258	0.1457983933
259	0.1457323572
260	0.1453779692
261	0.1453742748
262	0.1444536801
263	0.1440123843
264	0.1439180067
265	0.1437833368
266	0.1437574807
267	0.1435369384
268	0.1433909178
269	0.1429783884
270	0.1427492418
271	0.1425872221
272	0.1425200975
273	0.142346301
274	0.1422771532
275	0.1421836991
276	0.1416106091
277	0.1409584098
278	0.140670028
279	0.1405835858
280	0.1404959397
281	0.1404905168
282	0.1404150134
283	0.1403982021
284	0.1403669614
285	0.1402380868
286	0.1402194055
287	0.1402140258
288	0.1401063285
289	0.1397708653
290	0.1397511112
291	0.1395788091
292	0.1393174391
293	0.1392095048
294	0.1391935559
295	0.1391362312
296	0.1389459893
297	0.1389348781
298	0.1383532759
299	0.1382522782
300	0.1380525964
301	0.1378370401
302	0.1375920482
303	0.1375778405
304	0.1374484177
305	0.1374312111
306	0.137407985
307	0.1371988497
308	0.1370331232
309	0.1367991718
310	0.1367967918
311	0.1367735565
312	0.1367027121
313	0.1361526312
314	0.135963505
315	0.1356872568
316	0.1355717586
317	0.1352912861
318	0.1352205312
319	0.1350525272
320	0.135002654
321	0.1349883238
322	0.1348260083
323	0.1346345362
324	0.1343452356
325	0.1341570311
326	0.1340449717
327	0.1338195402
328	0.1331734015
329	0.132734468
330	0.1325204427
331	0.1322635762
332	0.1322225278
333	0.132220286
334	0.1321704893
335	0.1321272393
336	0.1321070919
337	0.1320560645
338	0.1319893498
339	0.1318978354
340	0.1316621172
341	0.1315155925
342	0.13151044
343	0.1314965356
344	0.1314357273
345	0.1314029925
346	0.1309226366
347	0.1309169721
348	0.130833625
349	0.1308159684
350	0.1307789841
351	0.1307146401
352	0.1305605931
353	0.1302888579
354	0.1302328943
355	0.1302050509
356	0.1301984918
357	0.1299250067
358	0.1298284478
359	0.1298248066
360	0.1298241351
361	0.1297574228
362	0.1297123259
363	0.1295762762
364	0.1295132088
365	0.1293015703
366	0.1292397265
367	0.1291244442
368	0.1290170083
369	0.1289121107
370	0.1285278823
371	0.1284487991
372	0.1284458323
373	0.1283312866
374	0.1280911035
375	0.1279821953
376	0.1279207069
377	0.1277833922
378	0.1277480071
379	0.1275877694
380	0.1275733256
381	0.1273196028
382	0.1273004855
383	0.1272775002
384	0.1272689345
385	0.1271855251
386	0.1268921937
387	0.1267164429
388	0.1265667403
389	0.1262621864
390	0.1262576139
391	0.1262535004
392	0.1260353742
393	0.1256659378
394	0.1254922739
395	0.1253466245
396	0.1253414113
397	0.1252656947
398	0.1252539121
399	0.1251868143
400	0.1250947773
401	0.1250768863
402	0.125045044
403	0.1246689674
404	0.1243774731
405	0.1241718452
406	0.12415474
407	0.1241495122
408	0.124101796
409	0.1239697465
410	0.1239279296
411	0.1238935841
412	0.1238490421
413	0.1236759792
414	0.1235555255
415	0.1234035898
416	0.1233912533
417	0.1231907609
418	0.1228939228
419	0.1228310169
420	0.1228265355
421	0.1226314268
422	0.1226064595
423	0.1225362919
424	0.1223991268
425	0.1221495742
426	0.1218322244
427	0.1216035255
428	0.1214278584
429	0.1213405194
430	0.1209617395
431	0.1209596892
432	0.1208843507
433	0.120867425
434	0.1208325589
435	0.1207930552
436	0.1207756818
437	0.1206784074
438	0.120650239
439	0.1206369996
440	0.120287204
441	0.1202245069
442	0.1202177504
443	0.1201417235
444	0.1201379548
445	0.1200653638
446	0.1200374869
447	0.1200181474
448	0.1198799519
449	0.119776636
450	0.1197441251
451	0.1196899893
452	0.119640194
453	0.1195918937
454	0.119423784
455	0.1193290023
456	0.1192253297
457	0.1191605005
458	0.1191211306
459	0.1190147918
460	0.1189978898
461	0.1187114156
462	0.1186731777
463	0.1186375166
464	0.1184100394
465	0.1183023245
466	0.1182444962
467	0.1180260423
468	0.1179992664
469	0.117525823
470	0.1175049191
471	0.117335093
472	0.1173292715
473	0.1173193791
474	0.1169813971
475	0.1169549548
476	0.1168901916
477	0.1168386554
478	0.1167315129
479	0.1167169305
480	0.1164395512
481	0.1164244224
482	0.116356768
483	0.1162584157
484	0.1159486594
485	0.1159277011
486	0.115826908
487	0.1158259977
488	0.115792576
489	0.115759902
490	0.115727864
491	0.1155481806
492	0.1154750093
493	0.1154698968
494	0.1154078353
495	0.1152882751
496	0.1151694958
497	0.1151411515
498	0.1151004449
499	0.11508655
