iter	Passed	Remaining
0	2793	1393844
1	5594	1393148
2	9041	1497925
3	11495	1425421
4	15329	1517607
5	18243	1502065
6	21722	1529919
7	24457	1504160
8	27820	1517766
9	30694	1504037
10	33331	1481732
11	36429	1481451
12	39780	1490228
13	43139	1497548
14	46514	1503972
15	49915	1509933
16	53741	1526899
17	57192	1531491
18	60107	1521676
19	63089	1514136
20	66282	1511864
21	69504	1510134
22	72751	1508800
23	76160	1510511
24	78931	1499692
25	82309	1500568
26	85759	1502374
27	89469	1508207
28	92555	1503236
29	96183	1506882
30	99876	1511028
31	102923	1505256
32	105530	1493420
33	108828	1491589
34	111649	1483343
35	114769	1479247
36	118618	1484332
37	122479	1489095
38	126067	1490183
39	129294	1486887
40	132832	1487073
41	135959	1482609
42	139192	1479329
43	142744	1479351
44	146321	1479475
45	149705	1477532
46	153135	1475969
47	156496	1473670
48	160355	1475924
49	163481	1471331
50	166730	1467882
51	170373	1467829
52	171573	1447044
53	175128	1446427
54	178433	1443686
55	181842	1441748
56	185229	1439590
57	188540	1436809
58	192037	1435400
59	195344	1432529
60	198130	1425888
61	201630	1424422
62	204876	1421127
63	208292	1418993
64	211624	1416258
65	215184	1415001
66	218128	1409697
67	221912	1409796
68	225594	1409148
69	229068	1407134
70	232712	1406107
71	236425	1405417
72	239801	1402677
73	243233	1400233
74	247403	1401952
75	251455	1402854
76	254731	1399367
77	258067	1396210
78	260900	1390368
79	263744	1384657
80	267097	1381654
81	270708	1379952
82	274429	1378761
83	277917	1376353
84	281659	1375163
85	285079	1372361
86	288477	1369437
87	291641	1365411
88	295347	1363906
89	298696	1360728
90	302142	1357983
91	306091	1357448
92	309381	1353961
93	312792	1350995
94	316020	1347243
95	319331	1343852
96	322686	1340646
97	326527	1339428
98	330714	1339561
99	333901	1335605
100	338330	1336572
101	342616	1336876
102	347012	1337515
103	351057	1336720
104	354006	1331740
105	357456	1328659
106	361109	1326319
107	364781	1324022
108	368027	1320172
109	371452	1316969
110	374609	1312822
111	377859	1309014
112	380943	1304645
113	384272	1301133
114	387345	1296766
115	390215	1291749
116	394208	1290444
117	397563	1287026
118	400113	1281036
119	402950	1276010
120	406129	1272091
121	409709	1269426
122	412732	1265042
123	416290	1262299
124	419100	1257301
125	422165	1253095
126	425309	1249137
127	428476	1245258
128	432035	1242521
129	435352	1239080
130	438356	1234760
131	441298	1230287
132	444944	1227779
133	447683	1222777
134	451117	1219689
135	453940	1214957
136	456944	1210735
137	460124	1206993
138	463261	1203145
139	466765	1200253
140	469480	1195343
141	473367	1193419
142	476474	1189520
143	479922	1186475
144	483144	1182870
145	485970	1178313
146	489515	1175503
147	493036	1172627
148	497710	1172459
149	501490	1170144
150	504989	1167160
151	509388	1166232
152	514205	1166204
153	518463	1164858
154	523215	1164575
155	527570	1163360
156	532355	1163044
157	536652	1161614
158	540202	1158548
159	544050	1156106
160	548070	1154012
161	551276	1150195
162	557005	1151600
163	560706	1148764
164	564357	1145817
165	567685	1142209
166	571182	1138944
167	574589	1135498
168	577947	1131955
169	581087	1127994
170	584419	1124408
171	587839	1120997
172	590742	1116604
173	594023	1112941
174	597063	1108832
175	599883	1104330
176	603127	1100622
177	606602	1097337
178	609555	1093114
179	612464	1088826
180	616137	1085899
181	618716	1081053
182	621668	1076878
183	624481	1072479
184	627553	1068536
185	630764	1064838
186	633546	1060428
187	637198	1057478
188	639699	1052627
189	642808	1048792
190	645854	1044863
191	648693	1040612
192	651730	1036690
193	654349	1032118
194	657355	1028171
195	660139	1023890
196	662929	1019633
197	665923	1015701
198	668068	1010495
199	671312	1006969
200	674507	1003371
201	677448	999403
202	680556	995690
203	683163	991256
204	686125	987350
205	688903	983192
206	691796	979209
207	694773	975355
208	697788	971561
209	700608	967506
210	703577	963667
211	706413	959655
212	709247	955652
213	712188	951803
214	714855	947599
215	717614	943530
216	720585	939750
217	723824	936324
218	727163	933027
219	730372	929565
220	733822	926408
221	736968	922870
222	739966	919150
223	742727	915146
224	745402	911047
225	748268	907193
226	751808	904157
227	755209	900952
228	758996	898201
229	762183	894736
230	765397	891307
231	769454	888852
232	772632	885376
233	775864	881965
234	779339	878829
235	782544	875388
236	786158	872403
237	790149	869828
238	793569	866617
239	796937	863349
240	799995	859746
241	803182	856285
242	806843	853328
243	810289	850140
244	813758	846972
245	816815	843378
246	820023	839943
247	823458	836740
248	826814	833455
249	830258	830258
250	833464	826822
251	836796	823514
252	839768	819852
253	843611	817041
254	847241	814015
255	850712	810835
256	854338	807798
257	857119	803964
258	860492	800690
259	863523	797098
260	866033	793034
261	869267	789640
262	871697	785522
263	875569	782705
264	878702	779226
265	881479	775436
266	884594	771949
267	888300	768976
268	891832	765848
269	895360	762714
270	898846	759542
271	901525	755690
272	904753	752304
273	907424	748459
274	909990	744537
275	913215	741160
276	916498	737831
277	919577	734339
278	922804	730967
279	925902	727494
280	929120	724118
281	931387	720008
282	934410	716491
283	937238	712829
284	939672	708875
285	942620	705317
286	945747	701896
287	948395	698124
288	951472	694674
289	954445	691150
290	957292	687539
291	960024	683852
292	963199	680485
293	966263	677041
294	968708	673170
295	971841	669782
296	974895	666342
297	977271	662445
298	980521	659146
299	983600	655733
300	986886	652460
301	990228	649222
302	993045	645643
303	995882	642082
304	998808	638582
305	1001163	634724
306	1004210	631311
307	1007146	627831
308	1009719	624131
309	1012937	620832
310	1015561	617174
311	1018678	613818
312	1021192	610105
313	1024512	606877
314	1027472	603436
315	1030606	600099
316	1034133	596991
317	1037956	594050
318	1040750	590520
319	1043656	587056
320	1046161	583373
321	1048860	579804
322	1051971	576467
323	1054682	572913
324	1057915	569646
325	1060828	566208
326	1063838	562825
327	1067369	559718
328	1070272	556281
329	1073290	552907
330	1076575	549671
331	1079544	546275
332	1082226	542738
333	1085265	539383
334	1087892	535827
