Название транспорта,Услуга,Вместимость,Min аренда,Багажник,Ремни,Салон,Климат,Цвет салона,Монитор,Микрофон,Машин в автопарке,Год выпуска,Розетки,Опция,Удобства,Цвет,Привод
"Yutong 6938 39 мест белого цвета, 2021-2024 года с водителем",аренда автобуса,39,4+2,есть,есть,комби,кондиционер,синеоранжевый/серый,1 LED,есть,5,2021-2024,,,,,
"Yutong 6122 51 место белого цвета, 2019-2024 года с водителем",аренда автобуса,51,4+2,есть,есть,тканевый,кондиционер,синий-оранжевый,2 LED,есть,75,2019-2024,"USB, 220 B",холодильник,,,
"Yutong 6122 53 места белого цвета, 2019-2024 года с водителем",аренда автобуса,53,4+2,есть,есть,тканевый,кондиционер,синеоранжевый/серый,2 LED,есть,65,2019-2024,"USB, 220 B",холодильник,,,
"Yutong 6128 53 места белого цвета, 2021-2024 года с водителем",аренда автобуса,53,4+2,есть,есть,комби,кондиционер,бордовый-черный,2 LED,есть,8,2021-2024,"USB, 220 B",холодильник,,,
"Yutong 6122 49 мест (с туалетом) белого цвета, 2019-2024 года с водителем",аренда автобуса,49,4+2,есть,есть,тканевый,кондиционер,синий-оранжевый,2 LED,есть,16,2019-2024,"USB, 220 B",холодильник,туалет,,
"YUTONG 6121 (57 + 7 мест) белого цвета, 2019-2022 года с водителем",аренда автобуса,64,4+2,есть,есть,комби,кондиционер,чёрно-оранжево-бордовый,2 LED,есть,20,2019-2022,,холодильник,,,
"Yutong 6127/С12 (55 + 6 мест) белого цвета, 2023-2024 года с водителем",аренда автобуса,61,4+2,есть,есть,тканевый,кондиционер,синий-оранжевый,2 LED,,15,2023-2024,,,,,
"YUTONG 6128 51 место (С ТУАЛЕТОМ) белого цвета, 2021-2024 года с водителем",аренда автобуса,51,4+2,есть,есть,комби,кондиционер,бордовый-черный,2 LED,есть,8,2021-2024,"USB, 220 B",холодильник,туалет,,
"Scania Touring 51 место белого цвета, 2019-2021 года с водителем",аренда автобуса,51,4+2,есть,есть,комби,кондиционер,серый,2 LED,есть,14,2019-2021,,,,,
"Scania Touring 49 мест (с туалетом) белого цвета, 2019-2021 года с водителем",аренда автобуса,49,4+2,есть,есть,комби,кондиционер,серый-оранжевый,2 LED,есть,3,2019-2021,,холодильник,туалет,,
"ПАЗ Вектор Некст (25/41 место) белого цвета, 2019-2024 года с водителем",аренда автобуса,25/41,4+2,есть,есть,тканевый,кондиционер,серый,,,25,2019-2024,,,,,
"ПАЗ ВЕКТОР НЕКСТ (30/48 мест) белого цвета, 2021 года с водителем",аренда автобуса,30/48,4+2,есть,есть,тканевый,кондиционер,синий,,,10,2021,,,,,
"MB SPRINTER W907 VIP 19 мест белого цвета, 2020-2022 года с водителем",аренда микроавтобуса,19,4+1,есть,есть,комби,кондиционер,,1 LED,есть,25,2020-2022,USB,,,,
