Название транспорта,Пункт назначения,Стоимость трансфера (вс-чт),Стоимость трансфера (пт-сб)
"Yutong 6938 39 мест белого цвета, 2021-2024 года с водителем","В/из аэропортов: Домодедово, Шереметьево, Внуково",16380,18060
"Yutong 6938 39 мест белого цвета, 2021-2024 года с водителем","В/из аэропорта Жуковский, Чкаловский",19110,21070
"Yutong 6938 39 мест белого цвета, 2021-2024 года с водителем",В/из железнодорожных вокзалов г. Москвы,16380,18060
"Yutong 6122 51 место белого цвета, 2019-2024 года с водителем","В/из аэропортов: Домодедово, Шереметьево, Внуково",18960,20880
"Yutong 6122 51 место белого цвета, 2019-2024 года с водителем","В/из аэропорта Жуковский, Чкаловский",22120,24360
"Yutong 6122 51 место белого цвета, 2019-2024 года с водителем",В/из железнодорожных вокзалов г. Москвы,18960,20880
"Yutong 6122 53 места белого цвета, 2019-2024 года с водителем","В/из аэропортов: Домодедово, Шереметьево, Внуково",18960,20880
"Yutong 6122 53 места белого цвета, 2019-2024 года с водителем","В/из аэропорта Жуковский, Чкаловский",22120,24360
"Yutong 6122 53 места белого цвета, 2019-2024 года с водителем",В/из железнодорожных вокзалов г. Москвы,18960,20880
"Yutong 6128 53 места белого цвета, 2021-2024 года с водителем","В/из аэропортов: Домодедово, Шереметьево, Внуково",19920,21960
"Yutong 6128 53 места белого цвета, 2021-2024 года с водителем","В/из аэропорта Жуковский, Чкаловский",23240,25620
"Yutong 6128 53 места белого цвета, 2021-2024 года с водителем",В/из железнодорожных вокзалов г. Москвы,19920,21960
"Yutong 6122 49 мест (с туалетом) белого цвета, 2019-2024 года с водителем","В/из аэропортов: Домодедово, Шереметьево, Внуково",20460,22560
"Yutong 6122 49 мест (с туалетом) белого цвета, 2019-2024 года с водителем","В/из аэропорта Жуковский, Чкаловский",23870,26320
"Yutong 6122 49 мест (с туалетом) белого цвета, 2019-2024 года с водителем",В/из железнодорожных вокзалов г. Москвы,20460,22560
"YUTONG 6121 (57 + 7 мест) белого цвета, 2019-2022 года с водителем","В/из аэропортов: Домодедово, Шереметьево, Внуково",21300,23460
"YUTONG 6121 (57 + 7 мест) белого цвета, 2019-2022 года с водителем","В/из аэропорта Жуковский, Чкаловский",24850,27370
"YUTONG 6121 (57 + 7 мест) белого цвета, 2019-2022 года с водителем",В/из железнодорожных вокзалов г. Москвы,21300,23460
"Yutong 6127/С12 (55 + 6 мест) белого цвета, 2023-2024 года с водителем","В/из аэропортов: Домодедово, Шереметьево, Внуково",21300,23460
"Yutong 6127/С12 (55 + 6 мест) белого цвета, 2023-2024 года с водителем","В/из аэропорта Жуковский, Чкаловский",24850,27370
"Yutong 6127/С12 (55 + 6 мест) белого цвета, 2023-2024 года с водителем",В/из железнодорожных вокзалов г. Москвы,21300,23460
"YUTONG 6128 51 место (С ТУАЛЕТОМ) белого цвета, 2021-2024 года с водителем","В/из аэропортов: Домодедово, Шереметьево, Внуково",20820,22920
"YUTONG 6128 51 место (С ТУАЛЕТОМ) белого цвета, 2021-2024 года с водителем","В/из аэропорта Жуковский, Чкаловский",24290,26740
"YUTONG 6128 51 место (С ТУАЛЕТОМ) белого цвета, 2021-2024 года с водителем",В/из железнодорожных вокзалов г. Москвы,20820,22920
"Scania Touring 51 место белого цвета, 2019-2021 года с водителем","В/из аэропортов: Домодедово, Шереметьево, Внуково",21660,23880
"Scania Touring 51 место белого цвета, 2019-2021 года с водителем","В/из аэропорта Жуковский, Чкаловский",25270,27860
"Scania Touring 51 место белого цвета, 2019-2021 года с водителем",В/из железнодорожных вокзалов г. Москвы,21660,23880
"Scania Touring 49 мест (с туалетом) белого цвета, 2019-2021 года с водителем","В/из аэропортов: Домодедово, Шереметьево, Внуково",22800,25080
"Scania Touring 49 мест (с туалетом) белого цвета, 2019-2021 года с водителем","В/из аэропорта Жуковский, Чкаловский",26600,29260
"Scania Touring 49 мест (с туалетом) белого цвета, 2019-2021 года с водителем",В/из железнодорожных вокзалов г. Москвы,22800,25080
"ПАЗ Вектор Некст (25/41 место) белого цвета, 2019-2024 года с водителем","В/из аэропортов: Домодедово, Шереметьево, Внуково",15300,16860
"ПАЗ Вектор Некст (25/41 место) белого цвета, 2019-2024 года с водителем","В/из аэропорта Жуковский, Чкаловский",17850,19670
"ПАЗ Вектор Некст (25/41 место) белого цвета, 2019-2024 года с водителем",В/из железнодорожных вокзалов г. Москвы,15300,16860
"ПАЗ ВЕКТОР НЕКСТ (30/48 мест) белого цвета, 2021 года с водителем","В/из аэропортов: Домодедово, Шереметьево, Внуково",17340,19080
"ПАЗ ВЕКТОР НЕКСТ (30/48 мест) белого цвета, 2021 года с водителем","В/из аэропорта Жуковский, Чкаловский",20230,22260
"ПАЗ ВЕКТОР НЕКСТ (30/48 мест) белого цвета, 2021 года с водителем",В/из железнодорожных вокзалов г. Москвы,17340,19080
"MB SPRINTER W907 VIP 19 мест белого цвета, 2020-2022 года с водителем","В/из аэропортов: Домодедово, Шереметьево, Внуково",11500,12650
"MB SPRINTER W907 VIP 19 мест белого цвета, 2020-2022 года с водителем","В/из аэропорта Жуковский, Чкаловский",13800,15180
"MB SPRINTER W907 VIP 19 мест белого цвета, 2020-2022 года с водителем",В/из железнодорожных вокзалов г. Москвы,11500,12650
"MB SPRINTER W907 16 мест белого цвета, 2021-2022 года с водителем","В/из аэропортов: Домодедово, Шереметьево, Внуково",10900,12000
"MB SPRINTER W907 16 мест белого цвета, 2021-2022 года с водителем","В/из аэропорта Жуковский, Чкаловский",13080,14400
"MB SPRINTER W907 16 мест белого цвета, 2021-2022 года с водителем",В/из железнодорожных вокзалов г. Москвы,10900,12000
"MB Sprinter W907 15/19 мест белого цвета, 2020-2022 года с водителем","В/из аэропортов: Домодедово, Шереметьево, Внуково",10900,12000
"MB Sprinter W907 15/19 мест белого цвета, 2020-2022 года с водителем","В/из аэропорта Жуковский, Чкаловский",13080,14400
"MB Sprinter W907 15/19 мест белого цвета, 2020-2022 года с водителем",В/из железнодорожных вокзалов г. Москвы,10900,12000
"MB Sprinter W906 15/19 мест белого цвета, 2018 года с водителем","В/из аэропортов: Домодедово, Шереметьево, Внуково",10900,12000
"MB Sprinter W906 15/19 мест белого цвета, 2018 года с водителем","В/из аэропорта Жуковский, Чкаловский",13080,14400
"MB Sprinter W906 15/19 мест белого цвета, 2018 года с водителем",В/из железнодорожных вокзалов г. Москвы,10900,12000
"Toyota Hiace 9/12 мест серебряного цвета, 2020-2022 года с водителем","В/из аэропортов: Домодедово, Шереметьево, Внуково",10900,12000
"Toyota Hiace 9/12 мест серебряного цвета, 2020-2022 года с водителем","В/из аэропорта Жуковский, Чкаловский",13080,14400
"Toyota Hiace 9/12 мест серебряного цвета, 2020-2022 года с водителем",В/из железнодорожных вокзалов г. Москвы,10900,12000
"ГАЗель NEXT на 19 мест белого цвета, 2022-2024 года с водителем","В/из аэропортов: Домодедово, Шереметьево, Внуково",10900,12000
